,ID_GRUPO,TX_NOMBRE
198,528404,Karaoke - The Beatles - Here Comes the Sun
199,528405,Karaoke - R.E.M. - Losing My Religion
200,528424,Thor
201,528427,"Devil Wears Prada, The"
202,528438,Transformers: Dark of the Moon
203,528442,Karaoke - Alejandro Sanz - Amiga mÃ­a
204,528521,Alien vs. Predator
205,528522,Desperate Housewives
206,528708,Quicksand
207,528742,Karaoke - Ricardo Montaner - DÃ©jame llorar
208,528758,"X-Files: I Want to Believe, The (2008)"
209,528776,"Rock, The"
210,528781,"Princess of Montpensier, The"
211,528783,Karaoke - Miguel BosÃ© - Amante bandido
212,528832,Hitman
213,528880,Little Miss Sunshine
214,528997,Desperate Housewives
215,529001,Kung Fu Panda 2
216,529004,X-Men: First Class
217,529013,Fright Night
218,529032,Desperate Housewives
219,529048,Bruce Almighty
220,529053,Toy Story 2 (1999)
221,529054,Bolt
222,529061,Star Trek (2009)
223,529120,Pretty Woman
224,529124,27 Dresses
225,529128,"Family Stone, The"
226,529129,Field of Dreams
227,529131,Pearl Harbor
228,529139,Bridesmaids
229,529164,Along Came Polly
230,529165,Lilo & Stitch
231,529168,"I, Robot"
232,529185,Desperate Housewives
233,529264,Desperate Housewives
234,529342,"Godfather Part III, The"
235,529450,Karaoke - Alex Ubago - Sin miedo a nada
236,529526,Karaoke - Paulina Rubio - Ni una sola palabra
237,529530,Karaoke - Cristian Castro - No podrÃ¡s
238,529532,Karaoke - Jennifer LÃ³pez - Una noche mÃ¡s
239,529533,Karaoke - Linkin Park - Numb
240,529542,Karaoke - Usher - My Way
241,529561,Meet Joe Black
242,529562,Apollo 13
243,529566,"Horse Whisperer, The"
244,529577,Karaoke - Oasis - Stand By Me
245,529582,Karaoke - Alejandro FernandÃ©z - SÃ­ tÃº supieras
246,529600,Evita
247,529649,Tarzan (1999)
248,529701,Wall-E
249,529845,Three Men and a Little Lady
250,529847,Air Force One
251,529885,Toy Story 3
252,529896,Backdraft
253,529897,Sweet Home Alabama
254,529940,Out of Africa
255,529943,Armageddon
256,529947,Rise of the Planet of the Apes
257,529948,Mr. Poppers Penguins
258,529982,Tea with Mussolini
259,529985,Notting Hill
260,529993,Desperate Housewives
261,530005,Possession (aka Addicted)
262,530017,"Zurdo, El"
263,530047,Bean
264,530050,"Day the Earth Stood Still, The"
265,530076,Fear and Loathing in Las Vegas
266,530089,Real Steel
267,530101,Space Buddies
268,530220,"segundo aire, El"
269,530225,Glee: The Concert Movie
270,530240,"Monsters, Inc."
271,530244,One True Thing
272,530417,Raising Helen
273,530423,Saw IV
274,530465,X-Men Origins: Wolverine
275,530469,Desperate Housewives
276,530473,Desperate Housewives
277,530509,Ray
278,530537,"Fast and the Furious, The"
279,530541,Desperate Housewives
280,530542,Desperate Housewives
281,530557,"Change-Up, The"
282,530568,Desperate Housewives
283,530576,Desperate Housewives
284,530586,Desperate Housewives
285,530601,All About Steve
286,530611,"Last King Of Scotland, The (2006)"
287,530613,Desperate Housewives
288,530614,Desperate Housewives
289,530615,Desperate Housewives
290,530618,Desperate Housewives
291,530619,Tower Heist
292,530620,Desperate Housewives
293,530621,Nanny McPhee
294,530623,Evan Almighty
295,530624,"Break-Up, The"
296,530628,Desperate Housewives
297,530629,Desperate Housewives
298,530630,Desperate Housewives
299,530632,Desperate Housewives
300,530795,Desperate Housewives
301,530819,Mr. Beans Holiday
302,530849,Desperate Housewives
303,530850,Desperate Housewives
304,530856,Pirates of the Caribbean: At Worlds End
305,530864,Coyote Ugly
306,530868,Anastasia
307,530875,Australia
308,530885,Whats Your Number?
309,530886,2 Fast 2 Furious
310,530888,In Time (2011)
311,530889,Diary of a Wimpy Kid: Rodrick Rules
312,530902,Desperate Housewives
313,530922,In The Name Of The Father
314,530934,War Horse
315,531090,Desperate Housewives
316,531124,Baby Mama
317,531132,Employee of the Month
318,531156,Sea of Love
319,531191,Desperate Housewives
320,531193,Speed
321,531198,Runaway Bride
322,531204,Saw
323,531207,Desperate Housewives
324,531208,Desperate Housewives
325,531214,Ratatouille
326,531220,Desperate Housewives
327,531233,Green Street Hooligans
328,531251,Die Hard 4 (Live Free Or Die Hard)
329,531255,"Muppets, The (aka The Greatest Muppets Movie Ever Made)"
330,531265,Patch Adams
331,531282,Father of the Bride Part II
332,531290,Crazy Heart
333,531291,Desperate Housewives
334,531296,8 Mile
335,531314,Ladder 49
336,531318,Moulin Rouge
337,531324,Wild Target
338,531343,Karaoke - CafÃ© Tacuba - Volver a comenzar
339,531346,Karaoke - El Canto Del Loco - Besos
340,531349,Karaoke - Lady GaGa - Just Dance
341,531350,Karaoke - Keane - Somewhere Only We Know
342,531355,Karaoke - Muse - Uprising
343,531356,Karaoke - Ricardo Arjona - Santo pecado
344,531362,Karaoke - The Rolling Stones - Angie
345,531418,Karaoke - Julieta Venegas - Eres Para MÃ­
346,531434,Planet Earth: Fresh Water
347,531435,Planet Earth: Deserts
348,531648,Karaoke - Dread Mar I - Tu Sin Mi
349,531701,Karaoke - The Police - Roxanne
350,531714,New Alcatraz (aka Boa)
351,531737,Karaoke - Aventura - Dile Al Amor
352,531750,Toy Story
353,531751,Enchanted
354,531753,Deja Vu
355,531767,Brother Bear 2
356,531772,Ice Age: Dawn of the Dinosaurs
357,531774,"Fast and the Furious: Tokyo Drift, The"
358,531775,League of Extraordinary Gentlemen. The
359,531777,"Help, The (2011)"
360,531781,Treasure Buddies
361,531819,Gone in 60 Seconds
362,531873,Planet Earth: Ice Worlds
363,531960,Karaoke - Don Omar - Ayer La Vi
364,531963,Karaoke - Juan Magan - Verano Azul
365,532011,Underdog
366,532012,Karaoke - Camila - AlÃ©jate de Mi
367,532067,Dragonfly
368,532090,This Means War
369,532128,"Mummy, The"
370,532163,Karaoke - Pablo AlborÃ¡n - Solamente TÃº
371,532204,Goal II Living the Dream
372,532292,Hellboy II: The Golden Army
373,532366,Deep Shock
374,532411,Alvin and The Chipmunks: Chipwrecked
375,532415,Atlantis: The Lost Empire
376,532418,Dragonheart
377,532420,John Carter
378,532422,Herbie Fully Loaded
379,532431,G.I. Jane
380,532486,"Sitter, The"
381,532492,Dr. Seuss Horton Hears A Who
382,532500,D2: The Mighty Ducks
383,532510,"Nutty Professor, The (1996)"
384,532632,Karaoke - Camila - BÃ©same
385,532753,Wild Caribbean: Treasure Islands
386,532755,We Bought a Zoo
387,532758,Homeward Bound II Lost In San Francisco
388,532802,Con Air
389,532803,"Scorpion King, The"
390,532804,"Mummy, The: Tomb of the Dragon Emperor"
391,532817,Karaoke - Lady Gaga - Judas
392,532819,Karaoke - Rakim y Ken-Y - Te Regalo Amores
393,532820,Karaoke - Tito El Bambino - Baila Sexy
394,532884,Karaoke - Bruno Mars - Just The Way You Are
395,532914,Amores Perros
396,532917,Asesino en serio
397,532975,Por la libre
398,533000,Todo el poder
399,533111,Percy Jackson & the Olympians: The Lightning Thief (2010)
400,533121,Sister Act II: Back In The Habit
401,533155,American Wedding (aka American Pie: The Wedding)
402,533166,Amar te duele (aka. Romance en la Plaza)
403,533182,Elizabeth
404,533208,"Darkest Hour, The"
405,533225,Chronicle
406,533226,American Pie 2
407,533256,American Reunion
408,533260,Curious George
409,533305,Bad Ass
410,533306,"Descendants, The"
411,533315,"Mummy Returns, The"
412,533645,Dr. Seuss The Lorax
413,533649,Titanic (1997)
414,533812,Iron Man 2
415,533824,AtlÃ©tico San Pancho
416,533885,"Fourth Angel, The"
417,533937,Karaoke - Christina Aguilera - The Voice Within
418,533943,Miss Bala
419,533945,Karaoke - Dyland & Lenny - PÃ©gate MÃ¡s
420,533995,Kingdom of Heaven
421,534032,Karaoke - La Factoria - Hay Otro En Mi Vida
422,534092,Pitch Black
423,534132,Castle
424,534133,Castle
425,534134,Castle
426,534152,Castle
427,534183,Castle
428,534219,Castle
429,534234,Castle
430,534268,Castle
431,534289,Castle
432,534386,Castle
433,534415,Hannibal
434,534458,Lost Voyage
435,534600,Shark Night
436,534633,Karaoke - Jason Mraz - Lucky
437,534666,"Bourne Ultimatum, The"
438,534683,"Artist, The (2011)"
439,534773,Prometheus
440,534822,Bring It On: In It to Win It
441,534823,"Hunger Games, The"
442,534855,Bridge Of Dragons
443,534979,"Hulk, The"
444,534986,Atonement
445,535108,"Avengers, The"
446,535141,Sister Act
447,535250,Spooky Buddies
448,535257,Karaoke - Adele - Someone Like You
449,535258,Karaoke - Luis Miguel - La Incondicional
450,535280,Beverly Hills Chihuahua 3: Viva la Fiesta!
451,535281,"Incredible Hulk, The (08)"
452,535282,Alien Resurrection
453,535344,Madagascar (DWA)
454,535583,Shrek (DWA)
455,535604,"Godfather, The"
456,535656,"Black Dahlia, The"
457,535658,Wild Caribbean: Reefs and Wrecks
458,535663,United 93
459,535693,X-Men
460,535695,Battleship
461,535696,Shame
462,535701,"Wedding Party, The"
463,535930,Iron Man
464,536064,"Kings Speech, The"
